GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US92308,92308,ZCTA5 92308,42389,2676
8600000US92309,92309,ZCTA5 92309,37609,10501
8600000US92310,92310,ZCTA5 92310,49279,5113
8600000US92311,92311,ZCTA5 92311,42138,3907
8600000US92313,92313,ZCTA5 92313,64305,2717
8600000US92314,92314,ZCTA5 92314,50916,5749
8600000US92315,92315,ZCTA5 92315,47095,6595
8600000US92316,92316,ZCTA5 92316,50310,4233
8600000US92320,92320,ZCTA5 92320,45928,4658
8600000US92321,92321,ZCTA5 92321,70272,47392
8600000US92322,92322,ZCTA5 92322,35500,23863
8600000US92324,92324,ZCTA5 92324,45325,3514
8600000US92325,92325,ZCTA5 92325,50518,9973
8600000US92327,92327,ZCTA5 92327,35694,23101
8600000US92328,92328,ZCTA5 92328,31250,10704
8600000US92332,92332,ZCTA5 92332,-,**
8600000US92333,92333,ZCTA5 92333,27222,26064
8600000US92335,92335,ZCTA5 92335,43444,1671
8600000US92336,92336,ZCTA5 92336,85027,2593
8600000US92337,92337,ZCTA5 92337,72655,4184
8600000US92338,92338,ZCTA5 92338,-,**
8600000US92339,92339,ZCTA5 92339,62950,9927
8600000US92341,92341,ZCTA5 92341,-,**
8600000US92342,92342,ZCTA5 92342,70329,18184
8600000US92344,92344,ZCTA5 92344,72369,7656
8600000US92345,92345,ZCTA5 92345,43700,2937
8600000US92346,92346,ZCTA5 92346,60265,3568
8600000US92347,92347,ZCTA5 92347,49000,15870
8600000US92352,92352,ZCTA5 92352,68229,11875
8600000US92354,92354,ZCTA5 92354,57610,8837
8600000US92356,92356,ZCTA5 92356,31821,7319
8600000US92358,92358,ZCTA5 92358,49861,22632
8600000US92359,92359,ZCTA5 92359,54437,3666
8600000US92363,92363,ZCTA5 92363,33520,4223
8600000US92364,92364,ZCTA5 92364,-,**
8600000US92365,92365,ZCTA5 92365,58031,6067
8600000US92368,92368,ZCTA5 92368,33618,10042
8600000US92371,92371,ZCTA5 92371,50980,4027
8600000US92372,92372,ZCTA5 92372,53306,14877
8600000US92373,92373,ZCTA5 92373,61947,2734
8600000US92374,92374,ZCTA5 92374,66035,3652
8600000US92376,92376,ZCTA5 92376,47479,2034
8600000US92377,92377,ZCTA5 92377,74877,5345
8600000US92378,92378,ZCTA5 92378,72596,3201
